Source,Amount,Spent
Tintern CC brought forward 1/4/2022,16219,
Transfer from TUCC to WVCC,6164,
Tintern CC transfer to Penterry,,1168
Spend to date,,16923.55
Precept to date,29340,
,51723.00,18091.55
